Type,Deck,Qty,Name
Commander,Brudiclad,1,Mirrorpool
Commander,Brudiclad,1,Mirrorworks
Commander,Brudiclad,5,Mountain
Commander,Brudiclad,1,Mulldrifter
Commander,Brudiclad,1,Myr Battlesphere
Commander,Brudiclad,1,Myriad Landscape
Commander,Brudiclad,1,Negate
Commander,Brudiclad,1,Palladium Myr
Commander,Brudiclad,1,Phyrexian Processor
Commander,Brudiclad,1,Pongify
Commander,Brudiclad,1,Precursor Golem
Commander,Brudiclad,1,"Purphoros, God of the Forge"
Commander,Brudiclad,1,Rapid Hybridization
Commander,Brudiclad,1,Reality Shift
Commander,Brudiclad,1,Reef Worm
Commander,Brudiclad,1,Reliquary Tower
Commander,Brudiclad,1,Retrofitter Foundry
Commander,Brudiclad,1,Rhystic Study
Commander,Brudiclad,1,Rite of Replication
Commander,Brudiclad,1,"Sai, Master Thopterist"
Commander,Brudiclad,1,Seat of the Synod
Commander,Brudiclad,1,Shared Animosity
Commander,Brudiclad,1,Shivan Reef
Commander,Brudiclad,1,Skullclamp
Commander,Brudiclad,1,Sol Ring
Commander,Brudiclad,1,Spell Swindle
Commander,Brudiclad,1,Storm the Vault
Commander,Brudiclad,1,Sulfur Falls
Commander,Brudiclad,1,Swan Song
Commander,Brudiclad,1,Swiftfoot Boots
Commander,Brudiclad,1,Temple of the False God
Commander,Brudiclad,1,Tempt with Vengeance
Commander,Brudiclad,1,Terramorphic Expanse
Commander,Brudiclad,1,Thopter Spy Network
Commander,Brudiclad,1,Thought Vessel
Commander,Brudiclad,1,Thran Dynamo
Commander,Brudiclad,1,Tilonalli's Summoner
Commander,Brudiclad,1,Trading Post
Commander,Brudiclad,1,Utvara Hellkite
Commander,Brudiclad,1,Vandalblast
Commander,Brudiclad,1,Whir of Invention
Commander,Brudiclad,1,Worn Powerstone
Commander,Brudiclad,1,Zhalfirin Void
Commander,Ezuri,1,Arachnogenesis
Commander,Ezuri,1,Autumn's Veil
Commander,Ezuri,1,Beast Within
Commander,Ezuri,1,Boreal Druid
Commander,Ezuri,1,Brainstorm
Commander,Ezuri,1,Chain of Vapor
Commander,Ezuri,1,Chord of Calling
Commander,Ezuri,1,Command Tower
Commander,Ezuri,1,Counterspell
Commander,Ezuri,1,Cursecatcher
Commander,Ezuri,1,Cyclonic Rift
Commander,Ezuri,1,Deadeye Navigator
Commander,Ezuri,1,Devoted Druid
Commander,Ezuri,1,Disallow
Commander,Ezuri,1,Doubling Season
Commander,Ezuri,1,Earthcraft
Commander,Ezuri,1,"Edric, Spymaster of Trest"
Commander,Ezuri,1,Elvish Archdruid
Commander,Ezuri,1,Elvish Mystic
Commander,Ezuri,1,Eternal Witness
Commander,Ezuri,1,Evolving Wilds
Commander,Ezuri,1,Exotic Orchard
Commander,Ezuri,1,"Ezuri, Claw of Progress"
Commander,Ezuri,1,Flash
Commander,Ezuri,1,Flooded Grove
Commander,Ezuri,8,Forest
Commander,Ezuri,1,Forgotten Ancient
Commander,Ezuri,1,Fyndhorn Elves
Commander,Ezuri,1,Gaea's Herald
Commander,Ezuri,1,Glen Elendra Archmage
Commander,Ezuri,1,Gyre Sage
Commander,Ezuri,1,Heroic Intervention
Commander,Ezuri,1,High Market
Commander,Ezuri,1,Hinder
Commander,Ezuri,1,Hinterland Harbor
Commander,Ezuri,1,Hydroid Krasis
Commander,Ezuri,1,Inspiring Call
Commander,Ezuri,8,Island
Commander,Ezuri,1,Kalonian Hydra
Commander,Ezuri,1,Khalni Garden
Commander,Ezuri,1,Llanowar Elves
Commander,Ezuri,1,Lonely Sandbar
Commander,Ezuri,1,Mana Vault
Commander,Ezuri,1,Managorger Hydra
Commander,Ezuri,1,"Marwyn, the Nurturer"
Commander,Ezuri,1,Merchant Scroll
Commander,Ezuri,1,"Miren, the Moaning Well"
Commander,Ezuri,1,Mosswort Bridge
Commander,Ezuri,1,Mystic Snake
Commander,Ezuri,1,Mystical Tutor
Commander,Ezuri,1,Natural State
Commander,Ezuri,1,Nature's Claim
Commander,Ezuri,1,Negate
Commander,Ezuri,1,"Novijen, Heart of Progress"
Commander,Ezuri,1,Peregrine Drake
Commander,Ezuri,1,"Pir, Imaginative Rascal"
Commander,Ezuri,1,Priest of Titania
Commander,Ezuri,1,Primal Vigor
Commander,Ezuri,1,Protean Hulk
Commander,Ezuri,1,Reality Shift
Commander,Ezuri,1,Reliquary Tower
Commander,Ezuri,1,Rhystic Study
Commander,Ezuri,1,Rishkar's Expertise
Commander,Ezuri,1,Rogue's Passage
Commander,Ezuri,1,Runic Armasaur
Commander,Ezuri,1,Sage of Hours
Commander,Ezuri,1,Shrieking Drake
Commander,Ezuri,1,Simic Ascendancy
Commander,Ezuri,1,Simic Charm
Commander,Ezuri,1,Simic Growth Chamber
Commander,Ezuri,1,Siren Stormtamer
Commander,Ezuri,1,Sol Ring
Commander,Ezuri,1,Spellskite
Commander,Ezuri,1,Squirrel Nest
Commander,Ezuri,1,Swan Song
Commander,Ezuri,1,Sylvan Safekeeper
Commander,Ezuri,1,Temple of the False God
Commander,Ezuri,1,Terramorphic Expanse
Commander,Ezuri,1,"Toothy, Imaginary Friend"
Commander,Ezuri,1,Tranquil Thicket
Commander,Ezuri,1,Utopia Sprawl
Commander,Ezuri,1,"Venser, Shaper Savant"
Commander,Ezuri,1,Walking Ballista
Commander,Ezuri,1,Wild Growth
Commander,Ezuri,1,Worldly Tutor
Commander,Ezuri,1,Yavimaya Coast
Commander,Selvala,1,Arbor Elf
Commander,Selvala,1,Aspect of Hydra
Commander,Selvala,1,Autumn's Veil
Commander,Selvala,1,Beast Within
Commander,Selvala,1,Benefactor's Draught
Commander,Selvala,1,Birds of Paradise
Commander,Selvala,1,Boreal Druid
Commander,Selvala,1,Chord of Calling
Commander,Selvala,1,Cloudstone Curio
Commander,Selvala,1,Crop Rotation
Commander,Selvala,1,Deglamer
Commander,Selvala,1,Duskwatch Recruiter
Commander,Selvala,1,Eldritch Evolution
Commander,Selvala,1,Elvish Mystic
Commander,Selvala,1,Emerald Charm
Commander,Selvala,1,Eternal Witness
Commander,Selvala,29,Forest
Commander,Selvala,1,Fyndhorn Elves
Commander,Selvala,1,Genesis Wave
Commander,Selvala,1,Gift of Growth
Commander,Selvala,1,Great Oak Guardian
Commander,Selvala,1,Greater Good
Commander,Selvala,1,Green Sun's Zenith
Commander,Selvala,1,Groundswell
Commander,Selvala,1,Hickory Woodlot
Commander,Selvala,1,Hunted Troll
Commander,Selvala,1,Invigorate
Commander,Selvala,1,"Kamahl, Fist of Krosa"
Commander,Selvala,1,Life's Legacy
Commander,Selvala,1,Llanowar Elves
Commander,Selvala,1,Lupine Prototype
Commander,Selvala,1,Might of Old Krosa
Commander,Selvala,1,Momentous Fall
Commander,Selvala,1,Natural Order
Commander,Selvala,1,Natural State
Commander,Selvala,1,Nature's Claim
Commander,Selvala,1,Nostalgic Dreams
Commander,Selvala,1,Phyrexian Dreadnought
Commander,Selvala,1,Phyrexian Soulgorger
Commander,Selvala,1,Phytoburst
Commander,Selvala,1,Priest of Titania
Commander,Selvala,1,Primal Command
Commander,Selvala,1,Quirion Ranger
Commander,Selvala,1,Ravaging Riftwurm
Commander,Selvala,1,Reclamation Sage
Commander,Selvala,1,Rishkar's Expertise
Commander,Selvala,1,Scent of Ivy
Commander,Selvala,1,Scryb Ranger
Commander,Selvala,1,"Selvala, Heart of the Wilds"
Commander,Selvala,1,Sheltering Ancient
Commander,Selvala,1,Skullwinder
Commander,Selvala,1,Sol Ring
Commander,Selvala,1,Somberwald Stag
Commander,Selvala,1,Soul's Majesty
Commander,Selvala,1,Staff of Domination
Commander,Selvala,1,Summoner's Pact
Commander,Selvala,1,Sword of the Paruns
Commander,Selvala,1,Sylvan Tutor
Commander,Selvala,1,Temur Sabertooth
Commander,Selvala,1,Titanic Growth
Commander,Selvala,1,Tooth and Nail
Commander,Selvala,1,Umbral Mantle
Commander,Selvala,1,Uncage the Menagerie
Commander,Selvala,1,Utopia Sprawl
Commander,Selvala,1,Vines of the Recluse
Commander,Selvala,1,Vines of Vastwood
Commander,Selvala,1,Vitalize
Commander,Selvala,1,Weird Harvest
Commander,Selvala,1,Wild Growth
Commander,Selvala,1,Wirewood Lodge
Commander,Selvala,1,Wirewood Symbiote
Commander,Selvala,1,Woodland Bellower
